template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status,statistically_significant
TPL_0001,0,churned,re_engagement,loss_avoidance,early_morning,500,15,1,0.03,0.1286,0.0262,BAD,True
TPL_0006,0,churned,re_engagement,scarcity,late_afternoon,1000,75,16,0.075,0.2171,0.018,NEUTRAL,True
TPL_0016,0,inactive,activation,epic_meaning,afternoon,200,9,0,0.045,0.0526,0.0597,BAD,True
TPL_0011,0,inactive,activation,unpredictability,early_morning,300,2,0,0.0067,0.0481,0.041,BAD,True
TPL_0026,0,paid,advocacy,accomplishment,early_morning,800,14,0,0.0175,0.07,0.0447,BAD,True
TPL_0021,0,paid,advocacy,ownership,early_morning,300,14,4,0.0467,0.3279,0.0084,BAD,True
TPL_0036,0,paid,deepening,accomplishment,early_morning,300,9,1,0.03,0.1186,0.0206,BAD,True
TPL_0031,0,paid,deepening,ownership,early_morning,500,53,17,0.106,0.3284,0.0217,NEUTRAL,True
TPL_0046,0,paid,expansion,accomplishment,night,300,18,6,0.06,0.3862,0.0135,NEUTRAL,True
TPL_0041,0,paid,expansion,ownership,early_morning,800,212,136,0.265,0.6452,0.0142,GOOD,True
TPL_0056,0,paid,retention,accomplishment,night,1000,20,2,0.02,0.1491,0.0408,BAD,True
TPL_0051,0,paid,retention,ownership,mid_morning,800,117,32,0.1462,0.2768,0.0106,NEUTRAL,True
TPL_0066,0,trial,activation,epic_meaning,mid_morning,200,61,27,0.305,0.4435,0.0148,GOOD,True
TPL_0061,0,trial,activation,unpredictability,early_morning,500,20,4,0.04,0.2158,0.0192,BAD,True
TPL_0076,0,trial,conversion_readiness,epic_meaning,evening,200,11,1,0.055,0.155,0.0566,BAD,True
TPL_0071,0,trial,conversion_readiness,unpredictability,early_morning,500,22,5,0.044,0.236,0.0115,BAD,True
TPL_0086,0,trial,feature_discovery,epic_meaning,early_morning,500,21,2,0.042,0.1269,0.0248,BAD,True
TPL_0081,0,trial,feature_discovery,unpredictability,evening,300,5,0,0.0167,0.0796,0.0216,BAD,True
TPL_0096,0,trial,habit_formation,epic_meaning,afternoon,1000,73,29,0.073,0.3981,0.0145,NEUTRAL,True
TPL_0091,0,trial,habit_formation,unpredictability,early_morning,800,12,1,0.015,0.1004,0.0502,BAD,True
TPL_0101,1,churned,re_engagement,loss_avoidance,mid_morning,1000,192,79,0.192,0.4125,0.014,GOOD,True
TPL_0106,1,churned,re_engagement,social_influence,night,500,19,3,0.038,0.1842,0.0275,BAD,True
TPL_0116,1,inactive,activation,social_influence,afternoon,500,109,79,0.218,0.7258,0.0048,GOOD,True
TPL_0111,1,inactive,activation,unpredictability,night,500,74,32,0.148,0.4423,0.0033,NEUTRAL,True
TPL_0126,1,paid,advocacy,ownership,evening,500,68,17,0.136,0.259,0.0099,NEUTRAL,True
TPL_0121,1,paid,advocacy,social_influence,night,300,28,8,0.0933,0.3032,0.0063,NEUTRAL,True
TPL_0136,1,paid,deepening,ownership,early_morning,200,21,7,0.105,0.3493,0.008,NEUTRAL,True
TPL_0131,1,paid,deepening,social_influence,late_afternoon,200,6,0,0.03,0.0623,0.0311,BAD,True
TPL_0146,1,paid,expansion,ownership,evening,800,58,17,0.0725,0.3038,0.0247,NEUTRAL,True
TPL_0141,1,paid,expansion,social_influence,late_afternoon,300,22,8,0.0733,0.3895,0.0144,NEUTRAL,True
TPL_0156,1,paid,retention,ownership,night,500,55,20,0.11,0.3669,0.008,NEUTRAL,True
TPL_0151,1,paid,retention,social_influence,night,300,11,1,0.0367,0.1068,0.0288,BAD,True
TPL_0166,1,trial,activation,accomplishment,late_afternoon,300,7,0,0.0233,0.0709,0.0576,BAD,True
TPL_0161,1,trial,activation,social_influence,evening,300,14,1,0.0467,0.0879,0.0417,BAD,True
TPL_0176,1,trial,conversion_readiness,accomplishment,late_afternoon,200,14,6,0.07,0.4361,0.0153,NEUTRAL,True
TPL_0171,1,trial,conversion_readiness,social_influence,afternoon,200,10,1,0.05,0.1444,0.0553,BAD,True
TPL_0186,1,trial,feature_discovery,accomplishment,evening,200,30,12,0.15,0.4174,0.0227,NEUTRAL,True
TPL_0181,1,trial,feature_discovery,social_influence,early_morning,500,82,59,0.164,0.7231,0.0095,GOOD,True
TPL_0196,1,trial,habit_formation,accomplishment,night,300,13,1,0.0433,0.1018,0.0322,BAD,True
TPL_0191,1,trial,habit_formation,social_influence,night,1000,132,33,0.132,0.254,0.0054,NEUTRAL,True
TPL_0206,2,churned,re_engagement,accomplishment,early_morning,800,96,36,0.12,0.3786,0.0112,NEUTRAL,True
TPL_0201,2,churned,re_engagement,loss_avoidance,late_afternoon,1000,66,15,0.066,0.2289,0.0245,NEUTRAL,True
TPL_0216,2,inactive,activation,empowerment,late_afternoon,800,26,4,0.0325,0.1692,0.0401,BAD,True
TPL_0211,2,inactive,activation,unpredictability,evening,200,52,22,0.26,0.4358,0.0013,GOOD,True
TPL_0226,2,paid,advocacy,accomplishment,evening,800,28,2,0.035,0.1011,0.0553,BAD,True
TPL_0221,2,paid,advocacy,ownership,evening,800,21,2,0.0262,0.1356,0.0429,BAD,True
TPL_0236,2,paid,deepening,accomplishment,evening,500,120,60,0.24,0.503,0.0048,GOOD,True
TPL_0231,2,paid,deepening,ownership,afternoon,300,43,14,0.1433,0.346,0.0164,NEUTRAL,True
TPL_0246,2,paid,expansion,accomplishment,night,200,13,3,0.065,0.285,0.0115,NEUTRAL,True
TPL_0241,2,paid,expansion,ownership,evening,500,13,1,0.026,0.0959,0.0524,BAD,True
TPL_0256,2,paid,retention,accomplishment,afternoon,1000,51,7,0.051,0.1394,0.0401,BAD,True
TPL_0251,2,paid,retention,ownership,early_morning,800,27,4,0.0338,0.1728,0.0556,BAD,True
TPL_0261,2,trial,activation,accomplishment,afternoon,1000,260,117,0.26,0.4519,0.0075,GOOD,True
TPL_0266,2,trial,activation,empowerment,night,500,21,4,0.042,0.2075,0.0215,BAD,True
TPL_0271,2,trial,conversion_readiness,accomplishment,early_morning,800,102,28,0.1275,0.2797,0.0243,NEUTRAL,True
TPL_0276,2,trial,conversion_readiness,empowerment,night,800,150,84,0.1875,0.5622,0.0099,GOOD,True
TPL_0281,2,trial,feature_discovery,accomplishment,mid_morning,500,22,1,0.044,0.0618,0.036,BAD,True
TPL_0286,2,trial,feature_discovery,empowerment,early_morning,200,3,0,0.015,0.0777,0.0232,BAD,True
TPL_0291,2,trial,habit_formation,accomplishment,early_morning,200,13,3,0.065,0.2544,0.01,NEUTRAL,True
TPL_0296,2,trial,habit_formation,empowerment,mid_morning,1000,157,54,0.157,0.3476,0.0161,NEUTRAL,True
TPL_0306,3,churned,re_engagement,accomplishment,late_afternoon,800,71,27,0.0887,0.3867,0.0053,NEUTRAL,True
TPL_0301,3,churned,re_engagement,loss_avoidance,mid_morning,300,58,37,0.1933,0.6383,0.0035,GOOD,True
TPL_0316,3,inactive,activation,epic_meaning,afternoon,300,30,7,0.1,0.2464,0.0137,NEUTRAL,True
TPL_0311,3,inactive,activation,unpredictability,afternoon,500,20,1,0.04,0.0802,0.0206,BAD,True
TPL_0326,3,paid,advocacy,accomplishment,afternoon,300,34,12,0.1133,0.3705,0.0173,NEUTRAL,True
TPL_0321,3,paid,advocacy,ownership,evening,500,20,3,0.04,0.1735,0.0471,BAD,True
TPL_0336,3,paid,deepening,accomplishment,early_morning,200,52,36,0.26,0.7108,0.0098,GOOD,True
TPL_0331,3,paid,deepening,ownership,evening,300,6,0,0.02,0.0929,0.0286,BAD,True
TPL_0346,3,paid,expansion,accomplishment,mid_morning,300,89,41,0.2967,0.4635,0.0055,GOOD,True
TPL_0341,3,paid,expansion,ownership,afternoon,1000,277,136,0.277,0.4942,0.0027,GOOD,True
TPL_0356,3,paid,retention,accomplishment,afternoon,200,9,1,0.045,0.1763,0.0521,BAD,True
TPL_0351,3,paid,retention,ownership,early_morning,800,188,123,0.235,0.6549,0.0149,GOOD,True
TPL_0361,3,trial,activation,accomplishment,afternoon,800,95,39,0.1187,0.4108,0.0162,NEUTRAL,True
TPL_0366,3,trial,activation,empowerment,evening,200,8,0,0.04,0.0857,0.0351,BAD,True
TPL_0371,3,trial,conversion_readiness,accomplishment,night,800,64,18,0.08,0.2855,0.007,NEUTRAL,True
TPL_0376,3,trial,conversion_readiness,empowerment,early_morning,800,30,3,0.0375,0.1032,0.0583,BAD,True
TPL_0381,3,trial,feature_discovery,accomplishment,late_afternoon,800,48,11,0.06,0.2402,0.017,NEUTRAL,True
TPL_0386,3,trial,feature_discovery,empowerment,late_afternoon,1000,137,48,0.137,0.3563,0.0073,NEUTRAL,True
TPL_0391,3,trial,habit_formation,accomplishment,afternoon,1000,54,3,0.054,0.0642,0.0495,BAD,True
TPL_0396,3,trial,habit_formation,empowerment,late_afternoon,200,9,1,0.045,0.1532,0.0535,BAD,True
TPL_0401,4,churned,re_engagement,loss_avoidance,mid_morning,500,13,0,0.026,0.0767,0.0359,BAD,True
TPL_0406,4,churned,re_engagement,social_influence,afternoon,1000,245,124,0.245,0.5076,0.0091,GOOD,True
TPL_0416,4,inactive,activation,social_influence,evening,800,18,3,0.0225,0.201,0.0437,BAD,True
TPL_0411,4,inactive,activation,unpredictability,night,300,6,0,0.02,0.096,0.0482,BAD,True
TPL_0426,4,paid,advocacy,ownership,afternoon,300,28,7,0.0933,0.2558,0.0131,NEUTRAL,True
TPL_0421,4,paid,advocacy,social_influence,early_morning,1000,159,102,0.159,0.6423,0.0114,GOOD,True
TPL_0436,4,paid,deepening,ownership,early_morning,1000,22,2,0.022,0.0947,0.0547,BAD,True
TPL_0431,4,paid,deepening,social_influence,night,1000,43,6,0.043,0.1441,0.0329,BAD,True
TPL_0446,4,paid,expansion,ownership,late_afternoon,200,3,0,0.015,0.1574,0.023,BAD,True
TPL_0441,4,paid,expansion,social_influence,evening,200,6,0,0.03,0.1557,0.0434,BAD,True
TPL_0456,4,paid,retention,ownership,late_afternoon,800,112,43,0.14,0.3856,0.0141,NEUTRAL,True
TPL_0451,4,paid,retention,social_influence,mid_morning,300,24,7,0.08,0.3162,0.0121,NEUTRAL,True
TPL_0466,4,trial,activation,accomplishment,early_morning,200,57,43,0.285,0.7654,0.0108,GOOD,True
TPL_0461,4,trial,activation,social_influence,evening,500,79,28,0.158,0.3639,0.0083,NEUTRAL,True
TPL_0476,4,trial,conversion_readiness,accomplishment,mid_morning,300,9,1,0.03,0.1509,0.0568,BAD,True
TPL_0471,4,trial,conversion_readiness,social_influence,night,200,2,0,0.01,0.0583,0.0351,BAD,True
TPL_0486,4,trial,feature_discovery,accomplishment,afternoon,500,8,1,0.016,0.153,0.0352,BAD,True
TPL_0481,4,trial,feature_discovery,social_influence,late_afternoon,1000,57,12,0.057,0.224,0.0077,NEUTRAL,True
TPL_0496,4,trial,habit_formation,accomplishment,night,1000,28,5,0.028,0.1787,0.0565,BAD,True
TPL_0491,4,trial,habit_formation,social_influence,mid_morning,200,10,0,0.05,0.0941,0.038,BAD,True
TPL_0506,5,churned,re_engagement,accomplishment,late_afternoon,300,22,9,0.0733,0.4132,0.0201,NEUTRAL,True
TPL_0501,5,churned,re_engagement,loss_avoidance,early_morning,500,21,5,0.042,0.2757,0.0145,BAD,True
TPL_0516,5,inactive,activation,epic_meaning,late_afternoon,500,65,26,0.13,0.4133,0.0068,NEUTRAL,True
TPL_0511,5,inactive,activation,unpredictability,evening,300,29,7,0.0967,0.2557,0.0207,NEUTRAL,True
TPL_0521,5,paid,advocacy,accomplishment,late_afternoon,300,19,4,0.0633,0.2232,0.012,NEUTRAL,True
TPL_0526,5,paid,advocacy,ownership,afternoon,200,19,7,0.095,0.3884,0.012,NEUTRAL,True
TPL_0531,5,paid,deepening,accomplishment,early_morning,300,29,10,0.0967,0.3735,0.0209,NEUTRAL,True
TPL_0536,5,paid,deepening,ownership,evening,1000,86,25,0.086,0.2977,0.0246,NEUTRAL,True
TPL_0541,5,paid,expansion,accomplishment,afternoon,200,24,6,0.12,0.2728,0.0065,NEUTRAL,True
TPL_0546,5,paid,expansion,ownership,late_afternoon,500,119,55,0.238,0.4637,0.0058,GOOD,True
TPL_0551,5,paid,retention,accomplishment,late_afternoon,1000,153,53,0.153,0.3524,0.0095,NEUTRAL,True
TPL_0556,5,paid,retention,ownership,mid_morning,1000,93,19,0.093,0.2105,0.016,NEUTRAL,True
TPL_0566,5,trial,activation,empowerment,evening,500,78,17,0.156,0.2257,0.0116,NEUTRAL,True
TPL_0561,5,trial,activation,unpredictability,evening,500,111,60,0.222,0.5457,0.0082,GOOD,True
TPL_0576,5,trial,conversion_readiness,empowerment,mid_morning,800,242,102,0.3025,0.4254,0.0094,GOOD,True
TPL_0571,5,trial,conversion_readiness,unpredictability,night,300,27,7,0.09,0.2756,0.0194,NEUTRAL,True
TPL_0586,5,trial,feature_discovery,empowerment,night,500,69,41,0.138,0.6061,0.0128,NEUTRAL,True
TPL_0581,5,trial,feature_discovery,unpredictability,early_morning,200,34,17,0.17,0.5038,0.0044,GOOD,True
TPL_0596,5,trial,habit_formation,empowerment,mid_morning,800,202,131,0.2525,0.6522,0.0022,GOOD,True
TPL_0591,5,trial,habit_formation,unpredictability,evening,1000,34,4,0.034,0.1367,0.0516,BAD,True
