template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate
TPL_0006,0,churned,re_engagement,epic_meaning,mid_morning,1000,62,30,0.062,0.4898,0.0243
TPL_0001,0,churned,re_engagement,unpredictability,evening,500,21,6,0.042,0.3296,0.014
TPL_0016,0,inactive,activation,epic_meaning,early_morning,1000,243,125,0.243,0.5162,0.0093
TPL_0011,0,inactive,activation,unpredictability,mid_morning,1000,162,65,0.162,0.4058,0.0013
TPL_0026,0,paid,advocacy,epic_meaning,late_afternoon,200,28,8,0.14,0.2999,0.0028
TPL_0021,0,paid,advocacy,unpredictability,mid_morning,500,53,31,0.106,0.5916,0.0192
TPL_0036,0,paid,deepening,epic_meaning,afternoon,500,88,28,0.176,0.3252,0.0015
TPL_0031,0,paid,deepening,unpredictability,late_afternoon,800,119,34,0.1487,0.2927,0.0016
TPL_0046,0,paid,expansion,epic_meaning,evening,800,60,26,0.075,0.4416,0.0248
TPL_0041,0,paid,expansion,unpredictability,early_morning,200,15,6,0.075,0.4313,0.0132
TPL_0056,0,paid,retention,epic_meaning,night,300,45,5,0.15,0.1157,0.0338
TPL_0051,0,paid,retention,unpredictability,mid_morning,300,33,18,0.11,0.5633,0.0294
TPL_0066,0,trial,activation,epic_meaning,night,800,24,6,0.03,0.2627,0.0162
TPL_0061,0,trial,activation,unpredictability,evening,1000,154,89,0.154,0.5826,0.0247
TPL_0076,0,trial,conversion_readiness,epic_meaning,afternoon,200,17,3,0.085,0.1826,0.0016
TPL_0071,0,trial,conversion_readiness,unpredictability,late_afternoon,200,13,1,0.065,0.1028,0.0328
TPL_0086,0,trial,feature_discovery,epic_meaning,late_afternoon,500,100,40,0.2,0.403,0.0371
TPL_0081,0,trial,feature_discovery,unpredictability,evening,200,46,24,0.23,0.525,0.0185
TPL_0096,0,trial,habit_formation,epic_meaning,late_afternoon,1000,187,78,0.187,0.4188,0.0356
TPL_0091,0,trial,habit_formation,unpredictability,late_afternoon,500,23,10,0.046,0.4566,0.0307
TPL_0101,1,churned,re_engagement,loss_avoidance,evening,500,70,21,0.14,0.3138,0.002
TPL_0106,1,churned,re_engagement,scarcity,afternoon,500,13,5,0.026,0.4182,0.0133
TPL_0111,1,inactive,activation,loss_avoidance,mid_morning,1000,77,23,0.077,0.3052,0.0305
TPL_0116,1,inactive,activation,scarcity,mid_morning,1000,37,9,0.037,0.2449,0.0073
TPL_0121,1,paid,advocacy,loss_avoidance,evening,300,61,25,0.2033,0.4167,0.035
TPL_0126,1,paid,advocacy,scarcity,mid_morning,800,50,27,0.0625,0.5463,0.022
TPL_0131,1,paid,deepening,loss_avoidance,evening,800,81,44,0.1013,0.5534,0.0116
TPL_0136,1,paid,deepening,scarcity,early_morning,200,41,21,0.205,0.5304,0.0013
TPL_0141,1,paid,expansion,loss_avoidance,early_morning,200,26,11,0.13,0.4462,0.0115
TPL_0146,1,paid,expansion,scarcity,early_morning,200,22,2,0.11,0.1324,0.0109
TPL_0151,1,paid,retention,loss_avoidance,mid_morning,300,55,9,0.1833,0.174,0.0399
TPL_0156,1,paid,retention,scarcity,early_morning,200,48,14,0.24,0.3055,0.0023
TPL_0161,1,trial,activation,loss_avoidance,late_afternoon,200,15,2,0.075,0.1724,0.0201
TPL_0166,1,trial,activation,scarcity,night,800,30,8,0.0375,0.2848,0.0104
TPL_0171,1,trial,conversion_readiness,loss_avoidance,night,1000,165,68,0.165,0.4168,0.0219
TPL_0176,1,trial,conversion_readiness,scarcity,late_afternoon,200,18,3,0.09,0.1933,0.0026
TPL_0181,1,trial,feature_discovery,loss_avoidance,mid_morning,800,140,15,0.175,0.1083,0.021
TPL_0186,1,trial,feature_discovery,scarcity,early_morning,800,134,25,0.1675,0.1872,0.0279
TPL_0191,1,trial,habit_formation,loss_avoidance,evening,200,35,16,0.175,0.4676,0.0092
TPL_0196,1,trial,habit_formation,scarcity,night,300,23,9,0.0767,0.43,0.0329
TPL_0201,2,churned,re_engagement,accomplishment,late_afternoon,800,113,24,0.1412,0.2209,0.0046
TPL_0206,2,churned,re_engagement,ownership,mid_morning,1000,227,94,0.227,0.4166,0.0142
TPL_0211,2,inactive,activation,accomplishment,early_morning,500,93,51,0.186,0.5486,0.0356
TPL_0216,2,inactive,activation,ownership,late_afternoon,800,31,5,0.0387,0.1808,0.036
TPL_0221,2,paid,advocacy,accomplishment,mid_morning,500,52,29,0.104,0.5701,0.039
TPL_0226,2,paid,advocacy,ownership,evening,300,39,12,0.13,0.3242,0.0398
TPL_0231,2,paid,deepening,accomplishment,mid_morning,200,4,1,0.02,0.3469,0.008
TPL_0236,2,paid,deepening,ownership,early_morning,200,18,6,0.09,0.3713,0.0208
TPL_0241,2,paid,expansion,accomplishment,night,1000,131,72,0.131,0.553,0.0179
TPL_0246,2,paid,expansion,ownership,afternoon,200,30,10,0.15,0.3463,0.0086
TPL_0251,2,paid,retention,accomplishment,afternoon,500,75,36,0.15,0.4843,0.0027
TPL_0256,2,paid,retention,ownership,mid_morning,800,102,24,0.1275,0.2398,0.0355
TPL_0261,2,trial,activation,accomplishment,mid_morning,200,47,12,0.235,0.2654,0.0226
TPL_0266,2,trial,activation,ownership,early_morning,800,172,42,0.215,0.2472,0.016
TPL_0271,2,trial,conversion_readiness,accomplishment,late_afternoon,500,29,10,0.058,0.3784,0.0375
TPL_0276,2,trial,conversion_readiness,ownership,evening,500,75,11,0.15,0.1486,0.025
TPL_0281,2,trial,feature_discovery,accomplishment,night,300,23,5,0.0767,0.2476,0.0136
TPL_0286,2,trial,feature_discovery,ownership,late_afternoon,200,36,10,0.18,0.2797,0.0125
TPL_0291,2,trial,habit_formation,accomplishment,evening,500,39,15,0.078,0.4058,0.0042
TPL_0296,2,trial,habit_formation,ownership,late_afternoon,800,162,68,0.2025,0.425,0.0284
TPL_0301,3,churned,re_engagement,loss_avoidance,night,800,179,20,0.2238,0.1138,0.0236
TPL_0306,3,churned,re_engagement,unpredictability,night,500,63,23,0.126,0.3713,0.0122
TPL_0316,3,inactive,activation,empowerment,evening,300,8,0,0.0267,0.1187,0.0331
TPL_0311,3,inactive,activation,unpredictability,night,500,24,8,0.048,0.3611,0.031
TPL_0321,3,paid,advocacy,accomplishment,mid_morning,800,130,18,0.1625,0.1427,0.003
TPL_0326,3,paid,advocacy,ownership,mid_morning,500,83,38,0.166,0.463,0.0391
TPL_0331,3,paid,deepening,accomplishment,mid_morning,300,28,13,0.0933,0.4976,0.0116
TPL_0336,3,paid,deepening,ownership,mid_morning,300,11,1,0.0367,0.1127,0.0385
TPL_0341,3,paid,expansion,accomplishment,late_afternoon,800,91,16,0.1138,0.1866,0.0071
TPL_0346,3,paid,expansion,ownership,evening,200,34,8,0.17,0.24,0.0382
TPL_0351,3,paid,retention,accomplishment,afternoon,1000,116,25,0.116,0.2239,0.0149
TPL_0356,3,paid,retention,ownership,afternoon,200,19,2,0.095,0.1459,0.0047
TPL_0361,3,trial,activation,accomplishment,night,800,48,5,0.06,0.1086,0.0308
TPL_0366,3,trial,activation,unpredictability,afternoon,800,47,14,0.0587,0.3169,0.0165
TPL_0371,3,trial,conversion_readiness,accomplishment,evening,1000,223,51,0.223,0.2304,0.0016
TPL_0376,3,trial,conversion_readiness,unpredictability,early_morning,300,40,14,0.1333,0.3697,0.0277
TPL_0381,3,trial,feature_discovery,accomplishment,evening,200,43,17,0.215,0.4182,0.0322
TPL_0386,3,trial,feature_discovery,unpredictability,mid_morning,300,45,7,0.15,0.1643,0.0326
TPL_0391,3,trial,habit_formation,accomplishment,early_morning,1000,163,83,0.163,0.5102,0.0264
TPL_0396,3,trial,habit_formation,unpredictability,early_morning,800,66,13,0.0825,0.2073,0.0157
TPL_0401,4,churned,re_engagement,loss_avoidance,afternoon,500,81,21,0.162,0.2683,0.0266
TPL_0406,4,churned,re_engagement,unpredictability,afternoon,300,53,14,0.1767,0.2703,0.0112
TPL_0416,4,inactive,activation,empowerment,mid_morning,300,54,22,0.18,0.4145,0.0352
TPL_0411,4,inactive,activation,unpredictability,mid_morning,200,40,9,0.2,0.241,0.0079
TPL_0421,4,paid,advocacy,accomplishment,late_afternoon,500,123,37,0.246,0.3063,0.0155
TPL_0426,4,paid,advocacy,ownership,night,1000,74,32,0.074,0.4399,0.0299
TPL_0431,4,paid,deepening,accomplishment,early_morning,200,21,7,0.105,0.3672,0.0204
TPL_0436,4,paid,deepening,ownership,late_afternoon,1000,225,66,0.225,0.2946,0.0014
TPL_0441,4,paid,expansion,accomplishment,late_afternoon,500,20,5,0.04,0.2597,0.0381
TPL_0446,4,paid,expansion,ownership,mid_morning,500,66,9,0.132,0.1416,0.0046
TPL_0451,4,paid,retention,accomplishment,mid_morning,200,29,5,0.145,0.2064,0.0379
TPL_0456,4,paid,retention,ownership,late_afternoon,1000,234,137,0.234,0.5871,0.0398
TPL_0461,4,trial,activation,accomplishment,evening,1000,189,70,0.189,0.373,0.0285
TPL_0466,4,trial,activation,unpredictability,mid_morning,200,39,15,0.195,0.4091,0.0049
TPL_0471,4,trial,conversion_readiness,accomplishment,night,1000,71,21,0.071,0.2983,0.0358
TPL_0476,4,trial,conversion_readiness,unpredictability,evening,1000,138,29,0.138,0.2166,0.0237
TPL_0481,4,trial,feature_discovery,accomplishment,afternoon,200,44,9,0.22,0.2183,0.0364
TPL_0486,4,trial,feature_discovery,unpredictability,afternoon,800,80,36,0.1,0.4541,0.0198
TPL_0491,4,trial,habit_formation,accomplishment,mid_morning,500,38,10,0.076,0.2651,0.0179
TPL_0496,4,trial,habit_formation,unpredictability,afternoon,1000,113,43,0.113,0.3857,0.0299
TPL_0501,5,churned,re_engagement,accomplishment,afternoon,200,38,16,0.19,0.4405,0.0103
TPL_0506,5,churned,re_engagement,ownership,late_afternoon,800,68,36,0.085,0.5343,0.0097
TPL_0511,5,inactive,activation,accomplishment,night,300,6,3,0.02,0.5849,0.0027
TPL_0516,5,inactive,activation,ownership,afternoon,1000,248,33,0.248,0.1369,0.0226
TPL_0521,5,paid,advocacy,accomplishment,mid_morning,200,28,11,0.14,0.4147,0.0281
TPL_0526,5,paid,advocacy,ownership,late_afternoon,1000,180,52,0.18,0.2921,0.0297
TPL_0531,5,paid,deepening,accomplishment,early_morning,800,192,24,0.24,0.1289,0.0164
TPL_0536,5,paid,deepening,ownership,mid_morning,1000,83,16,0.083,0.1941,0.0191
TPL_0541,5,paid,expansion,accomplishment,evening,800,123,17,0.1537,0.1389,0.039
TPL_0546,5,paid,expansion,ownership,early_morning,200,16,4,0.08,0.3056,0.0245
TPL_0551,5,paid,retention,accomplishment,afternoon,1000,229,117,0.229,0.5113,0.038
TPL_0556,5,paid,retention,ownership,afternoon,200,23,13,0.115,0.5664,0.0348
TPL_0561,5,trial,activation,accomplishment,afternoon,1000,26,7,0.026,0.2882,0.0326
TPL_0566,5,trial,activation,ownership,late_afternoon,500,78,22,0.156,0.2904,0.0388
TPL_0571,5,trial,conversion_readiness,accomplishment,early_morning,200,42,14,0.21,0.3343,0.0172
TPL_0576,5,trial,conversion_readiness,ownership,late_afternoon,1000,32,17,0.032,0.5324,0.0327
TPL_0581,5,trial,feature_discovery,accomplishment,afternoon,500,73,35,0.146,0.4845,0.0378
TPL_0586,5,trial,feature_discovery,ownership,evening,500,38,12,0.076,0.3253,0.006
TPL_0591,5,trial,habit_formation,accomplishment,early_morning,1000,159,34,0.159,0.2143,0.0272
TPL_0596,5,trial,habit_formation,ownership,evening,800,65,7,0.0813,0.1111,0.0204
